                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8791,                 4.7402,                 4.1313,                0.00119,                0.07287,                0.00158,                0.00059,                 4.0732,                 13.613,                 3.5436,             0.00065909,             0.00065909,             0.00065909
                      2,                 3.4287,                 4.0677,                 3.6278,                0.03233,                0.02648,                 0.0044,                0.00117,                  3.787,                 16.274,                  5.377,              0.0013126,              0.0013126,              0.0013126
                      3,                 3.1514,                 3.5798,                 3.2052,                0.03825,                0.06394,                0.01345,                0.00418,                 3.6164,                 30.096,                 2.5536,               0.001953,               0.001953,               0.001953
                      4,                 3.0095,                 3.2827,                 2.8604,                0.04885,                0.04999,                0.01435,                0.00426,                 3.3666,                 5.9399,                 2.2659,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.8489,                  3.027,                 2.6689,                0.14801,                0.08839,                0.03656,                0.01296,                 3.0831,                  3.825,                 2.0845,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.7906,                 2.8013,                 2.5727,                0.15453,                0.09215,                0.04199,                0.01501,                 3.0556,                 6.0718,                   2.09,               0.001901,               0.001901,               0.001901
                      7,                 2.6952,                 2.6786,                   2.46,                0.16519,                0.10641,                0.05427,                0.02027,                 2.8004,                  3.669,                 1.9378,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.566,                 2.4987,                 2.3882,                0.18614,                0.10186,                0.05646,                0.02003,                 2.9038,                 3.8847,                 1.9861,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.4685,                 2.4059,                 2.3546,                0.26332,                0.12913,                0.08759,                0.03529,                 2.6822,                 2.9021,                 1.8627,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.4272,                 2.3695,                  2.275,                0.31504,                0.15327,                0.11627,                0.04577,                 2.6763,                 2.5955,                 1.8051,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3069,                 2.2027,                  2.183,                0.31905,                0.15985,                0.12829,                0.06001,                  2.507,                 2.3741,                 1.7246,               0.001802,               0.001802,               0.001802
                     12,                 2.2418,                 2.1036,                  2.166,                0.37936,                 0.1586,                0.13681,                0.06333,                 2.5624,                 2.4485,                 1.7525,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.202,                 2.0368,                 2.0555,                0.35147,                0.15593,                0.13567,                0.06169,                 2.5322,                 2.4279,                 1.7288,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.1498,                 2.0022,                 1.9667,                0.41619,                0.16925,                  0.163,                0.07573,                 2.4841,                 2.3952,                 1.6596,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.0578,                 1.9055,                 1.9883,                0.29373,                0.19166,                0.14851,                0.07292,                 2.3675,                 2.5629,                 1.6132,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9494,                 1.7862,                 1.8957,                0.36467,                 0.1879,                0.16417,                0.08227,                 2.4253,                 2.4074,                    1.6,               0.001703,               0.001703,               0.001703
                     17,                 1.9619,                 1.7879,                 1.8542,                0.40573,                0.20248,                 0.1901,                0.09685,                 2.3661,                 2.4668,                 1.5916,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.8831,                  1.748,                 1.8348,                0.39518,                0.20154,                0.18611,                0.10342,                 2.2382,                   2.67,                 1.5322,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.8487,                 1.6928,                 1.7608,                0.40009,                0.20107,                0.19297,                0.10817,                  2.241,                 2.4772,                 1.4897,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.7541,                 1.5862,                 1.7384,                0.41184,                0.19544,                0.18236,                0.09533,                  2.356,                 2.3288,                 1.5614,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.7759,                 1.5793,                 1.6979,                0.49674,                0.22012,                0.22052,                0.12361,                 2.1721,                 2.0503,                 1.4514,               0.001604,               0.001604,               0.001604
                     22,                 1.7303,                  1.521,                 1.6794,                0.50223,                0.23023,                 0.2306,                0.12903,                 2.2091,                  2.043,                 1.4682,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.7053,                 1.4986,                 1.6046,                0.47396,                0.21194,                0.21088,                 0.1151,                 2.1893,                 2.0101,                 1.4402,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6879,                  1.507,                 1.6304,                 0.5014,                0.23351,                0.23198,                0.13097,                 2.1074,                 2.2008,                 1.3927,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6593,                 1.4522,                 1.5875,                0.48297,                0.22614,                0.22192,                0.12639,                 2.0933,                 1.8927,                 1.4105,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.6402,                 1.4385,                 1.5806,                0.49111,                 0.2346,                0.22951,                0.13621,                 2.0307,                 1.8715,                 1.3473,               0.001505,               0.001505,               0.001505
                     27,                 1.5843,                 1.4019,                 1.5426,                0.55916,                0.25121,                0.25822,                0.15205,                 1.9849,                 1.7586,                 1.3291,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.5843,                 1.3815,                 1.5139,                0.55538,                0.24526,                0.25554,                 0.1526,                 2.0256,                 1.7884,                 1.3326,              0.0014654,              0.0014654,              0.0014654
